,T,Chosen,Candidates,From,Delay,Data,size,,,,,,,,,,,,,
339s,85,115,43,37,55,61,7,85,79,115,115,0.540283,0.6,85,0.764017,0.6,,,,
340s,37,55,43,37,55,61,7,85,79,115,55,0.518647,0.6,37,0.669393,0.6,,,,
341s,43,79,43,37,55,61,7,85,79,115,43,0.713678,0.6,79,0.787486,0.6,,,,
342s,7,115,43,37,55,61,7,85,79,115,115,0.465381,0.6,,,,,,,
343s,55,7,43,37,55,61,7,85,79,115,7,1.17807,0.6,55,0.497155,0.6,,,,
344s,61,115,43,37,55,61,7,85,79,115,115,0.416654,0.6,7,1.4435,0.6,61,0.483796,0.6,
345s,85,115,43,37,55,61,7,85,79,115,115,0.373996,0.6,85,0.709082,0.6,,,,
346s,37,115,43,37,55,61,7,85,79,115,115,0.327774,0.6,37,0.913998,0.6,,,,
347s,61,115,43,37,55,61,7,85,79,115,115,0.328554,0.6,61,0.510734,0.6,,,,
348s,85,115,43,37,55,61,7,85,79,115,115,0.496936,0.6,85,0.775739,0.6,,,,
349s,43,55,43,37,55,61,7,85,79,115,55,0.428941,0.6,43,0.48959,0.6,,,,
350s,79,115,43,37,55,61,7,85,79,115,115,0.310334,0.6,79,0.448515,0.6,,,,
351s,37,115,43,37,55,61,7,85,79,115,115,0.313661,0.6,37,0.505155,0.6,,,,
352s,7,115,43,37,55,61,7,85,79,115,115,0.468705,0.6,7,0.662468,0.6,,,,
353s,85,115,43,37,55,61,7,85,79,115,115,0.360787,0.6,,,,,,,
354s,85,115,43,37,55,61,7,85,79,115,85,1.24038,0.6,115,0.621607,0.6,,,,
355s,43,55,43,37,55,61,7,85,79,115,85,1.03868,0.6,55,0.431433,0.6,43,0.455495,0.6,
356s,55,79,43,37,55,61,7,85,79,115,55,0.615321,0.6,79,0.858673,0.6,,,,
357s,61,115,43,37,55,61,7,85,79,115,61,0.549367,0.6,115,0.560181,0.6,,,,
358s,43,55,43,37,55,61,7,85,79,115,55,0.350655,0.6,43,0.636613,0.6,,,,
359s,37,115,43,37,55,61,7,85,79,115,115,0.347591,0.6,37,0.553633,0.6,,,,
360s,7,115,43,37,55,61,7,85,79,115,115,0.453471,0.6,7,0.655373,0.6,,,,
361s,55,79,43,37,55,61,7,85,79,115,55,0.394077,0.6,79,0.485883,0.6,,,,
362s,55,61,43,37,55,61,7,85,79,115,55,0.585869,0.6,61,0.607629,0.6,,,,
363s,37,115,43,37,55,61,7,85,79,115,115,0.546896,0.6,37,0.581773,0.6,,,,
364s,43,55,43,37,55,61,7,85,79,115,55,0.500376,0.6,43,0.690382,0.6,,,,
365s,79,115,43,37,55,61,7,85,79,115,79,0.462091,0.6,115,0.628711,0.6,,,,
366s,43,55,43,37,55,61,7,85,79,115,43,0.412634,0.6,55,0.49435,0.6,,,,
367s,7,115,43,37,55,61,7,85,79,115,115,0.521227,0.6,,,,,,,
368s,55,7,43,37,55,61,7,85,79,115,7,1.0041,0.6,55,0.449463,0.6,,,,
369s,55,61,43,37,55,61,7,85,79,115,7,1.25147,0.6,55,0.390762,0.6,61,0.828622,0.6,
370s,43,79,43,37,55,61,7,85,79,115,43,0.473876,0.6,79,0.608667,0.6,,,,
371s,55,85,43,37,55,61,7,85,79,115,55,0.648041,0.6,85,0.926165,0.6,,,,
372s,37,115,43,37,55,61,7,85,79,115,115,0.478049,0.6,37,0.797208,0.6,,,,
373s,55,61,43,37,55,61,7,85,79,115,55,0.394678,0.6,61,0.852987,0.6,,,,
374s,55,79,43,37,55,61,7,85,79,115,79,0.45356,0.6,55,0.609592,0.6,,,,
375s,43,115,43,37,55,61,7,85,79,115,115,0.401595,0.6,43,0.528434,0.6,,,,
376s,85,115,43,37,55,61,7,85,79,115,115,0.390884,0.6,85,0.745808,0.6,,,,
377s,37,115,43,37,55,61,7,85,79,115,115,0.43781,0.6,37,0.711908,0.6,,,,
378s,7,115,43,37,55,61,7,85,79,115,115,0.597012,0.6,7,0.718028,0.6,,,,
379s,55,61,43,37,55,61,7,85,79,115,61,0.402109,0.6,55,0.459945,0.6,,,,
380s,43,79,43,37,55,61,7,85,79,115,43,0.509715,0.6,79,0.801819,0.6,,,,
381s,55,85,43,37,55,61,7,85,79,115,55,0.344101,0.6,85,0.71424,0.6,,,,
382s,55,61,43,37,55,61,7,85,79,115,55,0.371942,0.6,61,0.690757,0.6,,,,
383s,37,55,43,37,55,61,7,85,79,115,55,0.511535,0.6,37,0.80227,0.6,,,,
384s,43,115,43,37,55,61,7,85,79,115,115,0.429439,0.6,43,0.462685,0.6,,,,
385s,55,79,43,37,55,61,7,85,79,115,55,0.404183,0.6,79,0.491795,0.6,,,,
386s,7,115,43,37,55,61,7,85,79,115,115,0.452246,0.6,7,0.934276,0.6,,,,
387s,55,85,43,37,55,61,7,85,79,115,55,0.352838,0.6,,,,,,,
388s,55,85,43,37,55,61,7,85,79,115,55,0.295651,0.6,85,0.688423,0.6,,,,
389s,55,61,43,37,55,61,7,85,79,115,61,0.48746,0.6,55,0.659866,0.6,,,,
390s,37,55,43,37,55,61,7,85,79,115,37,0.467068,0.6,55,0.58215,0.6,,,,
391s,43,115,43,37,55,61,7,85,79,115,115,0.37003,0.6,43,0.501575,0.6,,,,
392s,7,115,43,37,55,61,7,85,79,115,115,0.352889,0.6,7,0.757221,0.6,,,,
393s,79,115,43,37,55,61,7,85,79,115,115,0.421112,0.6,79,0.477896,0.6,,,,
394s,85,115,43,37,55,61,7,85,79,115,115,0.496315,0.6,85,0.709006,0.6,,,,
395s,55,61,43,37,55,61,7,85,79,115,55,0.444726,0.6,61,0.711126,0.6,,,,
396s,37,115,43,37,55,61,7,85,79,115,115,0.542645,0.6,37,0.673332,0.6,,,,
397s,55,79,43,37,55,61,7,85,79,115,55,0.338223,0.6,79,0.562303,0.6,,,,
398s,43,55,43,37,55,61,7,85,79,115,43,0.3975,0.6,55,0.568615,0.6,,,,
399s,43,55,43,37,55,61,7,85,79,115,43,0.376919,0.6,55,0.64608,0.6,,,,
400s,7,115,43,37,55,61,7,85,79,115,,,,,,,,,,
